chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 6.118173034247191e-05 -3.002775093344939e+00
0.000000000000000e+00 1.562500000000000e-02 6.122873676642744e-05 -3.135082259173299e+00
0.000000000000000e+00 3.125000000000000e-02 6.134990860487004e-05 -3.524125390823585e+00
0.000000000000000e+00 4.687500000000000e-02 6.147906498903405e-05 -4.147889383063175e+00
0.000000000000000e+00 6.250000000000000e-02 6.149260977160688e-05 -4.974451016092535e+00
0.000000000000000e+00 7.812500000000000e-02 6.121198011676473e-05 -5.967285444557618e+00
0.000000000000000e+00 9.375000000000000e-02 6.043003784832829e-05 -7.090048603457453e+00
0.000000000000000e+00 1.093750000000000e-01 5.895584047859520e-05 -8.309874390631695e+00
0.000000000000000e+00 1.250000000000000e-01 5.666180561686251e-05 -9.599041989093495e+00
0.000000000000000e+00 1.406250000000000e-01 5.351776135458050e-05 -1.093539232527733e+01
0.000000000000000e+00 1.562500000000000e-01 4.960344517922000e-05 -1.230200242768363e+01
0.000000000000000e+00 1.718750000000000e-01 4.509875281912194e-05 -1.368651811448803e+01
0.000000000000000e+00 1.875000000000000e-01 4.025657315140252e-05 -1.508036862544425e+01
0.000000000000000e+00 2.031250000000000e-01 3.536578386326994e-05 -1.647791833303959e+01
0.000000000000000e+00 2.187500000000000e-01 3.071199450091358e-05 -1.787546086638916e+01
0.000000000000000e+00 2.343750000000000e-01 2.654137273792155e-05 -1.926985074793117e+01
0.000000000000000e+00 2.500000000000000e-01 2.302985405238185e-05 -2.065663121151661e+01
0.000000000000000e+00 2.656250000000000e-01 2.025927953228519e-05 -2.202803148027876e+01
0.000000000000000e+00 2.812500000000000e-01 1.820631437364176e-05 -2.337213971194909e+01
0.000000000000000e+00 2.968750000000000e-01 1.675485530600037e-05 -2.467466952411452e+01
0.000000000000000e+00 3.125000000000000e-01 1.573493909572905e-05 -2.592268403823150e+01
0.000000000000000e+00 3.281250000000000e-01 1.497156809921755e-05 -2.710749789452297e+01
0.000000000000000e+00 3.437500000000000e-01 1.431995482208526e-05 -2.822503513715366e+01
0.000000000000000e+00 3.593750000000000e-01 1.367841792968380e-05 -2.927446991602624e+01
0.000000000000000e+00 3.750000000000000e-01 1.298571490291000e-05 -3.025667847514504e+01
0.000000000000000e+00 3.906250000000000e-01 1.221256802153118e-05 -3.117321379423112e+01
0.000000000000000e+00 4.062500000000000e-01 1.135299064912432e-05 -3.202579800267452e+01
0.000000000000000e+00 4.218750000000000e-01 1.041710887999250e-05 -3.281612406279316e+01
0.000000000000000e+00 4.375000000000000e-01 9.425436983929080e-06 -3.354580121217331e+01
0.000000000000000e+00 4.531250000000000e-01 8.404228239668257e-06 -3.421635622956293e+01
0.000000000000000e+00 4.687500000000000e-01 7.381667369769681e-06 -3.482925281870045e+01
0.000000000000000e+00 4.843750000000000e-01 6.384843115532940e-06 -3.538591534506878e+01
0.000000000000000e+00 5.000000000000000e-01 5.437513823061967e-06 -3.588775256272462e+01
0.000000000000000e+00 5.156250000000000e-01 4.558667371711922e-06 -3.633618004999178e+01
0.000000000000000e+00 5.312500000000000e-01 3.761824294207916e-06 -3.673264087405016e+01
0.000000000000000e+00 5.468750000000000e-01 3.054976884932103e-06 -3.707862415094611e+01
0.000000000000000e+00 5.625000000000000e-01 2.441018281537197e-06 -3.737568120133923e+01
0.000000000000000e+00 5.781250000000000e-01 1.918500748872339e-06 -3.762543905955164e+01
0.000000000000000e+00 5.937500000000000e-01 1.482569687246881e-06 -3.782961118641218e+01
0.000000000000000e+00 6.093750000000000e-01 1.125942970739514e-06 -3.799000535077057e+01
0.000000000000000e+00 6.250000000000000e-01 8.398367631955779e-07 -3.810852876543991e+01
0.000000000000000e+00 6.406250000000000e-01 6.147724365337124e-07 -3.818719067805776e+01
0.000000000000000e+00 6.562500000000000e-01 4.412298129631887e-07 -3.822810271428147e+01
0.000000000000000e+00 6.718750000000000e-01 3.101367886593262e-07 -3.823347733907936e+01
0.000000000000000e+00 6.875000000000000e-01 2.132033321821750e-07 -3.820562483314166e+01
0.000000000000000e+00 7.031250000000000e-01 1.431190762492655e-07 -3.814694917139501e+01
0.000000000000000e+00 7.187500000000000e-01 9.363926900139995e-08 -3.805994314072565e+01
