chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 5.698020264202139e-12 1.520726613495187e+00
0.000000000000000e+00 1.562500000000000e-02 5.662399477997382e-12 1.440655293554182e+00
0.000000000000000e+00 3.125000000000000e-02 5.558441894405857e-12 1.204970750229119e+00
0.000000000000000e+00 4.687500000000000e-02 5.393464931861207e-12 8.265425132452752e-01
0.000000000000000e+00 6.250000000000000e-02 5.175629804437571e-12 3.246038112851228e-01
0.000000000000000e+00 7.812500000000000e-02 4.910060313302547e-12 -2.780277402859504e-01
0.000000000000000e+00 9.375000000000000e-02 4.597149565521970e-12 -9.579408647447737e-01
0.000000000000000e+00 1.093750000000000e-01 4.234540987944602e-12 -1.693705040434673e+00
0.000000000000000e+00 1.250000000000000e-01 3.821837400528229e-12 -2.467539387610485e+00
0.000000000000000e+00 1.406250000000000e-01 3.365227026022371e-12 -3.265950525039978e+00
0.000000000000000e+00 1.562500000000000e-01 2.879452508107173e-12 -4.079601020071807e+00
0.000000000000000e+00 1.718750000000000e-01 2.386326545632974e-12 -4.902832624359089e+00
0.000000000000000e+00 1.875000000000000e-01 1.910744002014641e-12 -5.733200239476000e+00
0.000000000000000e+00 2.031250000000000e-01 1.475937292033992e-12 -6.571230871908413e+00
0.000000000000000e+00 2.187500000000000e-01 1.099586149087077e-12 -7.420512832022450e+00
0.000000000000000e+00 2.343750000000000e-01 7.917341623495436e-13 -8.288105751324800e+00
0.000000000000000e+00 2.500000000000000e-01 5.546720987053838e-13 -9.184873248582093e+00
0.000000000000000e+00 2.656250000000000e-01 3.842509316103357e-13 -1.012392888081581e+01
0.000000000000000e+00 2.812500000000000e-01 2.715719666677962e-13 -1.111234716154619e+01
0.000000000000000e+00 2.968750000000000e-01 2.040558167282283e-13 -1.213329673547308e+01
0.000000000000000e+00 3.125000000000000e-01 1.666922975809865e-13 -1.313988226573344e+01
0.000000000000000e+00 3.281250000000000e-01 1.456420403941569e-13 -1.408674999308853e+01
0.000000000000000e+00 3.437500000000000e-01 1.318835594474901e-13 -1.495757204737948e+01
0.000000000000000e+00 3.593750000000000e-01 1.211592018113575e-13 -1.575552865831148e+01
0.000000000000000e+00 3.750000000000000e-01 1.118730209460686e-13 -1.648722362313559e+01
0.000000000000000e+00 3.906250000000000e-01 1.034648701029439e-13 -1.715686453024966e+01
0.000000000000000e+00 4.062500000000000e-01 9.567594420140070e-14 -1.776630941419415e+01
0.000000000000000e+00 4.218750000000000e-01 8.832015709692768e-14 -1.831633691493154e+01
0.000000000000000e+00 4.375000000000000e-01 8.124684510417690e-14 -1.880759718608827e+01
0.000000000000000e+00 4.531250000000000e-01 7.434957154554058e-14 -1.924107291874966e+01
0.000000000000000e+00 4.687500000000000e-01 6.757299260526000e-14 -1.961822354965756e+01
0.000000000000000e+00 4.843750000000000e-01 6.090924487700237e-14 -1.994098146922812e+01
0.000000000000000e+00 5.000000000000000e-01 5.438700054775796e-14 -2.021169532397220e+01
0.000000000000000e+00 5.156250000000000e-01 4.805787518596280e-14 -2.043305893942987e+01
0.000000000000000e+00 5.312500000000000e-01 4.198369870732317e-14 -2.060803613504093e+01
0.000000000000000e+00 5.468750000000000e-01 3.622661077981638e-14 -2.073978232500364e+01
0.000000000000000e+00 5.625000000000000e-01 3.084258061810264e-14 -2.083156357477520e+01
0.000000000000000e+00 5.781250000000000e-01 2.587794360121811e-14 -2.088667654465003e+01
0.000000000000000e+00 5.937500000000000e-01 2.136799299757900e-14 -2.090837508456671e+01
0.000000000000000e+00 6.093750000000000e-01 1.733657942379476e-14 -2.089980960051745e+01
0.000000000000000e+00 6.250000000000000e-01 1.379594759118499e-14 -2.086398358794566e+01
0.000000000000000e+00 6.406250000000000e-01 1.074648651293214e-14 -2.080372880202349e+01
0.000000000000000e+00 6.562500000000000e-01 8.176485112205268e-15 -2.072169760762216e+01
0.000000000000000e+00 6.718750000000000e-01 6.062232569255479e-15 -2.062036901833934e+01
