chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 5.932654057109451e-04 1.188541344298426e+00
0.000000000000000e+00 1.562500000000000e-02 5.940581119451109e-04 1.014176697223915e+00
0.000000000000000e+00 3.125000000000000e-02 5.961799754629264e-04 5.011609620251167e-01
0.000000000000000e+00 4.687500000000000e-02 5.988536585723962e-04 -3.223157641827232e-01
0.000000000000000e+00 6.250000000000000e-02 6.007985581130832e-04 -1.415258848073907e+00
0.000000000000000e+00 7.812500000000000e-02 6.003571820323240e-04 -2.730484288067296e+00
0.000000000000000e+00 9.375000000000000e-02 5.957611437570046e-04 -4.220573570093956e+00
0.000000000000000e+00 1.093750000000000e-01 5.854799043453334e-04 -5.842028546359305e+00
0.000000000000000e+00 1.250000000000000e-01 5.685465275745474e-04 -7.557448559961969e+00
0.000000000000000e+00 1.406250000000000e-01 5.447691303688111e-04 -9.336148739210081e+00
0.000000000000000e+00 1.562500000000000e-01 5.147869040307255e-04 -1.115379834687473e+01
0.000000000000000e+00 1.718750000000000e-01 4.799783807336566e-04 -1.299155241154323e+01
0.000000000000000e+00 1.875000000000000e-01 4.422575259540925e-04 -1.483496184641157e+01
0.000000000000000e+00 2.031250000000000e-01 4.037995208000355e-04 -1.667278411750627e+01
0.000000000000000e+00 2.187500000000000e-01 3.667323188041788e-04 -1.849573097805248e+01
0.000000000000000e+00 2.343750000000000e-01 3.328259254956113e-04 -2.029522045551156e+01
0.000000000000000e+00 2.500000000000000e-01 3.032215330036471e-04 -2.206235768187261e+01
0.000000000000000e+00 2.656250000000000e-01 2.782663289752016e-04 -2.378753669717574e+01
0.000000000000000e+00 2.812500000000000e-01 2.575269406772343e-04 -2.546094752366783e+01
0.000000000000000e+00 2.968750000000000e-01 2.400029851002137e-04 -2.707375108928930e+01
0.000000000000000e+00 3.125000000000000e-01 2.244640255182947e-04 -2.861918368831815e+01
0.000000000000000e+00 3.281250000000000e-01 2.097729233293990e-04 -3.009296885659926e+01
0.000000000000000e+00 3.437500000000000e-01 1.950920057089951e-04 -3.149300536252217e+01
0.000000000000000e+00 3.593750000000000e-01 1.799511627473658e-04 -3.281871089292168e+01
0.000000000000000e+00 3.750000000000000e-01 1.642156528809177e-04 -3.407038640196433e+01
0.000000000000000e+00 3.906250000000000e-01 1.480044023575790e-04 -3.524876326423143e+01
0.000000000000000e+00 4.062500000000000e-01 1.315967752249464e-04 -3.635473951351665e+01
0.000000000000000e+00 4.218750000000000e-01 1.153487273891616e-04 -3.738925239090123e+01
0.000000000000000e+00 4.375000000000000e-01 9.962691297103042e-05 -3.835323245672267e+01
0.000000000000000e+00 4.531250000000000e-01 8.476235544888314e-05 -3.924760042159398e+01
0.000000000000000e+00 4.687500000000000e-01 7.102195962151331e-05 -4.007328348922796e+01
0.000000000000000e+00 4.843750000000000e-01 5.859479361272593e-05 -4.083123876103357e+01
0.000000000000000e+00 5.000000000000000e-01 4.758972032738165e-05 -4.152247759226800e+01
0.000000000000000e+00 5.156250000000000e-01 3.804109107869349e-05 -4.214808819687360e+01
0.000000000000000e+00 5.312500000000000e-01 2.991958037702799e-05 -4.270925550256819e+01
0.000000000000000e+00 5.468750000000000e-01 2.314571544948306e-05 -4.320727804689924e+01
0.000000000000000e+00 5.625000000000000e-01 1.760416767405751e-05 -4.364358202984128e+01
0.000000000000000e+00 5.781250000000000e-01 1.315738112418959e-05 -4.401973274184029e+01
0.000000000000000e+00 5.937500000000000e-01 9.657584118289689e-06 -4.433744359327439e+01
0.000000000000000e+00 6.093750000000000e-01 6.956640615545039e-06 -4.459858294444171e+01
0.000000000000000e+00 6.250000000000000e-01 4.913535446911291e-06 -4.480517890371760e+01
0.000000000000000e+00 6.406250000000000e-01 3.399544664496506e-06 -4.495942223749669e+01
0.000000000000000e+00 6.562500000000000e-01 2.301320901655202e-06 -4.506366752195629e+01
0.000000000000000e+00 6.718750000000000e-01 1.522230631470444e-06 -4.512043266157023e+01
0.000000000000000e+00 6.875000000000000e-01 9.823268301799128e-07 -4.513239689813911e+01
0.000000000000000e+00 7.031250000000000e-01 6.173402942249975e-07 -4.510239743137235e+01
0.000000000000000e+00 7.187500000000000e-01 3.770396861973275e-07 -4.503342476232494e+01
0.000000000000000e+00 7.343750000000000e-01 2.232572406643171e-07 -4.492861684998406e+01
0.000000000000000e+00 7.500000000000000e-01 1.278148571303507e-07 -4.479125213634983e+01
0.000000000000000e+00 7.656250000000000e-01 7.052240655605726e-08 -4.462474144570713e+01
0.000000000000000e+00 7.812500000000000e-01 3.736222834311335e-08 -4.443261870027141e+01
0.000000000000000e+00 7.968750000000000e-01 1.892440255194321e-08 -4.421853031879042e+01
0.000000000000000e+00 8.125000000000000e-01 9.117975186030878e-09 -4.398622307880633e+01
0.000000000000000e+00 8.281250000000000e-01 4.154062120808391e-09 -4.373953012795653e+01
0.000000000000000e+00 8.437500000000000e-01 1.776943692318424e-09 -4.348235472388139e+01
0.000000000000000e+00 8.593750000000000e-01 7.076560862250750e-10 -4.321865116210442e+01
0.000000000000000e+00 8.750000000000000e-01 2.596989380023044e-10 -4.295240220941723e+01
0.000000000000000e+00 8.906250000000000e-01 8.673074950932693e-11 -4.268759218476831e+01
0.000000000000000e+00 9.062500000000000e-01 2.595225195735987e-11 -4.242817460248794e+01
0.000000000000000e+00 9.218750000000000e-01 6.822676713339122e-12 -4.217803298677018e+01
0.000000000000000e+00 9.375000000000000e-01 1.536579446220656e-12 -4.194093304034533e+01
0.000000000000000e+00 9.531250000000000e-01 2.867843991081126e-13 -4.172046373873602e+01
0.000000000000000e+00 9.687500000000000e-01 4.240678291094269e-14 -4.151996401536049e+01
0.000000000000000e+00 9.843750000000000e-01 4.664719836984429e-15 -4.134243031042750e+01
0.000000000000000e+00 1.000000000000000e+00 3.480203044172894e-16 -4.119039801935252e+01
1.562500000000000e-02 0.000000000000000e+00 5.940027116891954e-04 1.079344715806181e+00
1.562500000000000e-02 1.562500000000000e-02 5.947642202126151e-04 9.060511440979446e-01
1.562500000000000e-02 3.125000000000000e-02 5.967925179943856e-04 3.961177582797097e-01
1.562500000000000e-02 4.687500000000000e-02 5.993121915934640e-04 -4.226195779528907e-01
1.562500000000000e-02 6.250000000000000e-02 6.010503253093195e-04 -1.509648006493545e+00
1.562500000000000e-02 7.812500000000000e-02 6.003653547732000e-04 -2.818283583196761e+00
1.562500000000000e-02 9.375000000000000e-02 5.955119717606427e-04 -4.301543029550135e+00
1.562500000000000e-02 1.093750000000000e-01 5.849856922128154e-04 -5.916257904402698e+00
1.562500000000000e-02 1.250000000000000e-01 5.678435053233662e-04 -7.625247496775171e+00
1.562500000000000e-02 1.406250000000000e-01 5.439113088804627e-04 -9.397953805090021e+00
1.562500000000000e-02 1.562500000000000e-01 5.138379196116022e-04 -1.121010325676709e+01
1.562500000000000e-02 1.718750000000000e-01 4.790032053037992e-04 -1.304285977189704e+01
1.562500000000000e-02 1.875000000000000e-01 4.413152708787087e-04 -1.488175089055510e+01
1.562500000000000e-02 2.031250000000000e-01 4.029378718214044e-04 -1.671548891093037e+01
1.562500000000000e-02 2.187500000000000e-01 3.659837038991964e-04 -1.853472560329079e+01
1.562500000000000e-02 2.343750000000000e-01 3.322054794150133e-04 -2.033081126320038e+01
1.562500000000000e-02 2.500000000000000e-01 3.027272177736512e-04 -2.209478620592968e+01
1.562500000000000e-02 2.656250000000000e-01 2.778817596210627e-04 -2.381699641748115e+01
1.562500000000000e-02 2.812500000000000e-01 2.572268781254742e-04 -2.548761050587496e+01
1.562500000000000e-02 2.968750000000000e-01 2.397600971800929e-04 -2.709779217949526e+01
1.562500000000000e-02 3.125000000000000e-01 2.242546314593566e-04 -2.864079111693331e+01
1.562500000000000e-02 3.281250000000000e-01 2.095801042408442e-04 -3.011234069279410e+01
1.562500000000000e-02 3.437500000000000e-01 1.949060206420573e-04 -3.151033944631456e+01
1.562500000000000e-02 3.593750000000000e-01 1.797681611166545e-04 -3.283419560246584e+01
1.562500000000000e-02 3.750000000000000e-01 1.640357807287342e-04 -3.408419526721412e+01
1.562500000000000e-02 3.906250000000000e-01 1.478300119858140e-04 -3.526105317149397e+01
1.562500000000000e-02 4.062500000000000e-01 1.314310410957639e-04 -3.636565117011601e+01
1.562500000000000e-02 4.218750000000000e-01 1.151947187726031e-04 -3.739891186046534e+01
1.562500000000000e-02 4.375000000000000e-01 9.948706016991688e-05 -3.836175302022275e+01
1.562500000000000e-02 4.531250000000000e-01 8.463821311170633e-05 -3.925508438621590e+01
1.562500000000000e-02 4.687500000000000e-01 7.091417369683454e-05 -4.007982379035624e+01
1.562500000000000e-02 4.843750000000000e-01 5.850319438540392e-05 -4.083692031744870e+01
1.562500000000000e-02 5.000000000000000e-01 4.751348227854620e-05 -4.152737842581869e+01
1.562500000000000e-02 5.156250000000000e-01 3.797891706473523e-05 -4.215228034642666e+01
1.562500000000000e-02 5.312500000000000e-01 2.986988163537563e-05 -4.271280576550730e+01
1.562500000000000e-02 5.468750000000000e-01 2.310677007089879e-05 -4.321024857881548e+01
1.562500000000000e-02 5.625000000000000e-01 1.757424865652166e-05 -4.364603082853780e+01
1.562500000000000e-02 5.781250000000000e-01 1.313485127278196e-05 -4.402171403715985e+01
1.562500000000000e-02 5.937500000000000e-01 9.640959234597536e-06 -4.433900816022012e+01
