chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 7.224394514328984e-32 -1.056746689505482e+00
0.000000000000000e+00 1.562500000000000e-02 7.300452663110554e-32 -1.059720368313383e+00
0.000000000000000e+00 3.125000000000000e-02 7.523321324671012e-32 -1.068614727190230e+00
0.000000000000000e+00 4.687500000000000e-02 7.876545930132467e-32 -1.083351779204742e+00
0.000000000000000e+00 6.250000000000000e-02 8.331341210693918e-32 -1.103806943060595e+00
0.000000000000000e+00 7.812500000000000e-02 8.845876709416803e-32 -1.129813518130025e+00
0.000000000000000e+00 9.375000000000000e-02 9.366350917604282e-32 -1.161165010757670e+00
0.000000000000000e+00 1.093750000000000e-01 9.830783729700334e-32 -1.197615522076429e+00
0.000000000000000e+00 1.250000000000000e-01 1.017557964439036e-31 -1.238879854274106e+00
0.000000000000000e+00 1.406250000000000e-01 1.786151462860673e-32 -2.001124091828428e+00
0.000000000000000e+00 1.562500000000000e-01 2.027249702713786e-32 -2.021144097701939e+00
0.000000000000000e+00 1.718750000000000e-01 2.242138392269292e-32 -2.043037960876324e+00
0.000000000000000e+00 1.875000000000000e-01 2.409713284655789e-32 -2.066762446601657e+00
0.000000000000000e+00 2.031250000000000e-01 2.511913911447823e-32 -2.092285726208774e+00
0.000000000000000e+00 2.187500000000000e-01 2.536831177278898e-32 -2.119593104212598e+00
0.000000000000000e+00 2.343750000000000e-01 2.480805712315783e-32 -2.148694060212143e+00
0.000000000000000e+00 2.500000000000000e-01 2.349002249285374e-32 -2.179630944607917e+00
0.000000000000000e+00 2.656250000000000e-01 2.154355004950971e-32 -2.212489676580628e+00
0.000000000000000e+00 2.812500000000000e-01 1.915201443342707e-32 -2.247412662911228e+00
0.000000000000000e+00 2.968750000000000e-01 1.652219739062844e-32 -2.284613675918920e+00
0.000000000000000e+00 3.125000000000000e-01 1.385379490615147e-32 -2.324393227791351e+00
0.000000000000000e+00 3.281250000000000e-01 1.131505910014523e-32 -2.367150226664671e+00
0.000000000000000e+00 3.437500000000000e-01 9.028113303593193e-33 -2.413380051570693e+00
0.000000000000000e+00 3.593750000000000e-01 7.064615318250280e-33 -2.463638716124063e+00
0.000000000000000e+00 3.750000000000000e-01 5.450063526583802e-33 -2.518436435817374e+00
0.000000000000000e+00 3.906250000000000e-01 4.173668720458654e-33 -2.578006698088580e+00
0.000000000000000e+00 4.062500000000000e-01 3.200446092913138e-33 -2.641902299408176e+00
0.000000000000000e+00 4.218750000000000e-01 2.482774764947123e-33 -2.708451682865158e+00
0.000000000000000e+00 4.375000000000000e-01 1.811799673893004e-33 -2.802974236741684e+00
0.000000000000000e+00 4.531250000000000e-01 1.522722629898101e-33 -2.858931631588439e+00
0.000000000000000e+00 4.687500000000000e-01 1.256309876816589e-33 -2.946884493191270e+00
0.000000000000000e+00 4.843750000000000e-01 1.156420776522041e-33 -2.955340085649936e+00
0.000000000000000e+00 5.000000000000000e-01 1.086817299185802e-33 -2.955948304912372e+00
0.000000000000000e+00 5.156250000000000e-01 1.041181452836011e-33 -2.947505861213312e+00
0.000000000000000e+00 5.312500000000000e-01 1.012581592746556e-33 -2.929847972297754e+00
0.000000000000000e+00 5.468750000000000e-01 9.939677369264241e-34 -2.903645499052847e+00
0.000000000000000e+00 5.625000000000000e-01 9.784899409626189e-34 -2.870032930844865e+00
0.000000000000000e+00 5.781250000000000e-01 9.597838194417977e-34 -2.830273943184248e+00
0.000000000000000e+00 5.937500000000000e-01 9.323201554402597e-34 -2.785557282183236e+00
0.000000000000000e+00 6.093750000000000e-01 8.918392570745251e-34 -2.736913757220516e+00
0.000000000000000e+00 6.250000000000000e-01 8.357452995611341e-34 -2.685233008746277e+00
0.000000000000000e+00 6.406250000000000e-01 7.637848259449573e-34 -2.631173632386830e+00
0.000000000000000e+00 6.562500000000000e-01 6.777067704223699e-34 -2.575372978754476e+00
0.000000000000000e+00 6.718750000000000e-01 5.814233615780925e-34 -2.518359048363859e+00
0.000000000000000e+00 6.875000000000000e-01 4.804105903324727e-34 -2.460580006851276e+00
0.000000000000000e+00 7.031250000000000e-01 3.808161980947226e-34 -2.402437704100411e+00
0.000000000000000e+00 7.187500000000000e-01 2.884704871077580e-34 -2.344297598001375e+00
0.000000000000000e+00 7.343750000000000e-01 2.079791855249314e-34 -2.286496576092907e+00
0.000000000000000e+00 7.500000000000000e-01 1.421113680875624e-34 -2.229348882864003e+00
0.000000000000000e+00 7.656250000000000e-01 9.161161868001487e-35 -2.173150487755401e+00
0.000000000000000e+00 7.812500000000000e-01 5.543981222958917e-35 -2.118182208470518e+00
0.000000000000000e+00 7.968750000000000e-01 3.132095486996927e-35 -2.064711808625883e+00
0.000000000000000e+00 8.125000000000000e-01 1.641602959433280e-35 -2.012995319886091e+00
0.000000000000000e+00 8.281250000000000e-01 7.924957457141259e-36 -1.963277604275377e+00
0.000000000000000e+00 8.437500000000000e-01 3.494492004210873e-36 -1.915792330234767e+00
0.000000000000000e+00 8.593750000000000e-01 1.393587877308989e-36 -1.870761367027675e+00
0.000000000000000e+00 8.750000000000000e-01 4.967096555958504e-37 -1.828393623475514e+00
0.000000000000000e+00 8.906250000000000e-01 1.559664135905423e-37 -1.788883325779699e+00
0.000000000000000e+00 9.062500000000000e-01 4.238218403870858e-38 -1.752407703221206e+00
0.000000000000000e+00 9.218750000000000e-01 9.745818944992378e-39 -1.719124023534852e+00
0.000000000000000e+00 9.375000000000000e-01 1.842522558571413e-39 -1.689165887231699e+00
0.000000000000000e+00 9.531250000000000e-01 2.757207996971579e-40 -1.662638647780658e+00
0.000000000000000e+00 9.687500000000000e-01 3.101802906285707e-41 -1.639613765193355e+00
0.000000000000000e+00 9.843750000000000e-01 2.440055433089584e-42 -1.620121812361977e+00
0.000000000000000e+00 1.000000000000000e+00 1.206686218180370e-43 -1.604143713853348e+00
1.562500000000000e-02 0.000000000000000e+00 7.276753823170890e-32 -1.058551523212272e+00
1.562500000000000e-02 1.562500000000000e-02 7.352205074973404e-32 -1.061522968993118e+00
1.562500000000000e-02 3.125000000000000e-02 7.573218518324846e-32 -1.070410628130792e+00
1.562500000000000e-02 4.687500000000000e-02 7.923256982593120e-32 -1.085136488865144e+00
1.562500000000000e-02 6.250000000000000e-02 8.373460573614509e-32 -1.105575879679882e+00
1.562500000000000e-02 7.812500000000000e-02 8.882004471455781e-32 -1.131561934563545e+00
1.562500000000000e-02 9.375000000000000e-02 9.395236285531670e-32 -1.162887961668143e+00
1.562500000000000e-02 1.093750000000000e-01 9.851499144214854e-32 -1.199307906953841e+00
1.562500000000000e-02 1.250000000000000e-01 1.018767958267638e-31 -1.240536538516177e+00
1.562500000000000e-02 1.406250000000000e-01 1.794488491972574e-32 -2.001787603008651e+00
1.562500000000000e-02 1.562500000000000e-01 2.034223420565375e-32 -2.021797318864062e+00
1.562500000000000e-02 1.718750000000000e-01 2.247400666134771e-32 -2.043680582301518e+00
1.562500000000000e-02 1.875000000000000e-01 2.413047812047880e-32 -2.067394419519504e+00
1.562500000000000e-02 2.031250000000000e-01 2.513274834220820e-32 -2.092907301050611e+00
1.562500000000000e-02 2.187500000000000e-01 2.536351258917671e-32 -2.120204875667909e+00
1.562500000000000e-02 2.343750000000000e-01 2.478772793993085e-32 -2.149297020999569e+00
1.562500000000000e-02 2.500000000000000e-01 2.345810660200481e-32 -2.180226549105972e+00
1.562500000000000e-02 2.656250000000000e-01 2.150444099604446e-32 -2.213079913585962e+00
1.562500000000000e-02 2.812500000000000e-01 1.910995034738714e-32 -2.248000132278178e+00
1.562500000000000e-02 2.968750000000000e-01 1.648077946080019e-32 -2.285201653805827e+00
1.562500000000000e-02 3.125000000000000e-01 1.381569710508206e-32 -2.324985684987693e+00
1.562500000000000e-02 3.281250000000000e-01 1.128194113038022e-32 -2.367751725521757e+00
1.562500000000000e-02 3.437500000000000e-01 9.000703180925769e-33 -2.413995378909800e+00
1.562500000000000e-02 3.593750000000000e-01 7.042901836102013e-33 -2.464272005937428e+00
1.562500000000000e-02 3.750000000000000e-01 5.433533668581102e-33 -2.519089427257634e+00
1.562500000000000e-02 3.906250000000000e-01 4.161536129922397e-33 -2.578675797760005e+00
1.562500000000000e-02 4.062500000000000e-01 3.191836210093113e-33 -2.642574612632607e+00
1.562500000000000e-02 4.218750000000000e-01 2.476852724662052e-33 -2.709101570390868e+00
1.562500000000000e-02 4.375000000000000e-01 1.808613987272512e-33 -2.803538654216883e+00
1.562500000000000e-02 4.531250000000000e-01 1.520608990967610e-33 -2.859369651779568e+00
1.562500000000000e-02 4.687500000000000e-01 1.255326330463277e-33 -2.946982598950536e+00
1.562500000000000e-02 4.843750000000000e-01 1.155749210199234e-33 -2.955378813657506e+00
1.562500000000000e-02 5.000000000000000e-01 1.086385145587833e-33 -2.955920698287029e+00
1.562500000000000e-02 5.156250000000000e-01 1.040918260299743e-33 -2.947413758860882e+00
1.562500000000000e-02 5.312500000000000e-01 1.012423749730710e-33 -2.929700109178078e+00
1.562500000000000e-02 5.468750000000000e-01 9.938604831363288e-34 -2.903454040216357e+00
1.562500000000000e-02 5.625000000000000e-01 9.783882072762257e-34 -2.869810382048513e+00
1.562500000000000e-02 5.781250000000000e-01 9.596528926324285e-34 -2.830031347528680e+00
1.562500000000000e-02 5.937500000000000e-01 9.321364846980548e-34 -2.785303598589921e+00
1.562500000000000e-02 6.093750000000000e-01 8.915911821363536e-34 -2.736655931479163e+00
1.562500000000000e-02 6.250000000000000e-01 8.354335192380165e-34 -2.684976191272787e+00
1.562500000000000e-02 6.406250000000000e-01 7.634203128308199e-34 -2.630921955727275e+00
1.562500000000000e-02 6.562500000000000e-01 6.773096144668619e-34 -2.575129442015927e+00
1.562500000000000e-02 6.718750000000000e-01 5.810187446328672e-34 -2.518125851079291e+00
1.562500000000000e-02 6.875000000000000e-01 4.800242147213933e-34 -2.460358796446527e+00
1.562500000000000e-02 7.031250000000000e-01 3.804700452555490e-34 -2.402229686242766e+00
1.562500000000000e-02 7.187500000000000e-01 2.881796110031659e-34 -2.344103621332725e+00
1.562500000000000e-02 7.343750000000000e-01 2.077502124109728e-34 -2.286317196124622e+00
1.562500000000000e-02 7.500000000000000e-01 1.419428809308997e-34 -2.229184409988381e+00
1.562500000000000e-02 7.656250000000000e-01 9.149607149151577e-35 -2.173001023494821e+00
1.562500000000000e-02 7.812500000000000e-01 5.536624328756139e-35 -2.118047673106029e+00
1.562500000000000e-02 7.968750000000000e-01 3.127767350456246e-35 -2.064591962625501e+00
1.562500000000000e-02 8.125000000000000e-01 1.639263874037775e-35 -2.012889780727033e+00
1.562500000000000e-02 8.281250000000000e-01 7.913426944691579e-36 -1.963185860165921e+00
1.562500000000000e-02 8.437500000000000e-01 3.489352136225918e-36 -1.915713751658867e+00
1.562500000000000e-02 8.593750000000000e-01 1.391537926279730e-36 -1.870695216946046e+00
1.562500000000000e-02 8.750000000000000e-01 4.959877285467301e-37 -1.828339066877116e+00
1.562500000000000e-02 8.906250000000000e-01 1.557456300251938e-37 -1.788839439175799e+00
1.562500000000000e-02 9.062500000000000e-01 4.232479568343925e-38 -1.752373484636127e+00
1.562500000000000e-02 9.218750000000000e-01 9.733498411709142e-39 -1.719098403511943e+00
1.562500000000000e-02 9.375000000000000e-01 1.840423298368641e-39 -1.689147741455726e+00
1.562500000000000e-02 9.531250000000000e-01 2.754533694440148e-40 -1.662626811921836e+00
1.562500000000000e-02 9.687500000000000e-01 3.099503033178966e-41 -1.639607052735342e+00
1.562500000000000e-02 9.843750000000000e-01 2.439003793124850e-42 -1.620119036361537e+00
1.562500000000000e-02 1.000000000000000e+00 1.206686271742650e-43 -1.604143713911095e+00
3.125000000000000e-02 0.000000000000000e+00 7.431838090747269e-32 -1.063962329500433e+00
3.125000000000000e-02 1.562500000000000e-02 7.505442187706599e-32 -1.066927041760369e+00
3.125000000000000e-02 3.125000000000000e-02 7.720818950722046e-32 -1.075794500080847e+00
3.125000000000000e-02 4.687500000000000e-02 8.061206558218296e-32 -1.090486625928537e+00
3.125000000000000e-02 6.250000000000000e-02 8.497553749941603e-32 -1.110878494839010e+00
3.125000000000000e-02 7.812500000000000e-02 8.988086758692875e-32 -1.136802772048915e+00
3.125000000000000e-02 9.375000000000000e-02 9.479628201228938e-32 -1.168052202873746e+00
3.125000000000000e-02 1.093750000000000e-01 9.911505678270084e-32 -1.204380297490224e+00
3.125000000000000e-02 1.250000000000000e-01 1.022205071826673e-31 -1.245501745482527e+00
3.125000000000000e-02 1.406250000000000e-01 1.819274791187874e-32 -2.003778667908656e+00
3.125000000000000e-02 1.562500000000000e-01 2.054868432647510e-32 -2.023757603929440e+00
3.125000000000000e-02 1.718750000000000e-01 2.262885794584582e-32 -2.045609174799388e+00
3.125000000000000e-02 1.875000000000000e-01 2.422751219878337e-32 -2.069291191430568e+00
3.125000000000000e-02 2.031250000000000e-01 2.517083166735298e-32 -2.094773024341924e+00
3.125000000000000e-02 2.187500000000000e-01 2.534680862440199e-32 -2.122041358026356e+00
3.125000000000000e-02 2.343750000000000e-01 2.472497259628570e-32 -2.151107267977148e+00
3.125000000000000e-02 2.500000000000000e-01 2.336114934791051e-32 -2.182014954718608e+00
3.125000000000000e-02 2.656250000000000e-01 2.138641437893389e-32 -2.214852479911167e+00
3.125000000000000e-02 2.812500000000000e-01 1.898347542778685e-32 -2.249764697904374e+00
3.125000000000000e-02 2.968750000000000e-01 1.635654611532236e-32 -2.286968087033963e+00
3.125000000000000e-02 3.125000000000000e-01 1.370161494008109e-32 -2.326765932362541e+00
3.125000000000000e-02 3.281250000000000e-01 1.118289350852991e-32 -2.369559489234543e+00
3.125000000000000e-02 3.437500000000000e-01 8.918802630806616e-33 -2.415844990186315e+00
3.125000000000000e-02 3.593750000000000e-01 6.978068548945663e-33 -2.466175750779246e+00
3.125000000000000e-02 3.750000000000000e-01 5.384204345612255e-33 -2.521052259511460e+00
3.125000000000000e-02 3.906250000000000e-01 4.125343781922222e-33 -2.580686463557401e+00
3.125000000000000e-02 4.062500000000000e-01 3.166159650937088e-33 -2.644593737600830e+00
3.125000000000000e-02 4.218750000000000e-01 2.459195243225896e-33 -2.711051476308113e+00
3.125000000000000e-02 4.375000000000000e-01 1.799113004565796e-33 -2.805227802297412e+00
3.125000000000000e-02 4.531250000000000e-01 1.514305148056526e-33 -2.860678385505447e+00
3.125000000000000e-02 4.687500000000000e-01 1.252388121695557e-33 -2.947274719640867e+00
3.125000000000000e-02 4.843750000000000e-01 1.153744093477824e-33 -2.955492180359483e+00
3.125000000000000e-02 5.000000000000000e-01 1.085095426157575e-33 -2.955834849230844e+00
3.125000000000000e-02 5.156250000000000e-01 1.040132867800800e-33 -2.947134571567259e+00
3.125000000000000e-02 5.312500000000000e-01 1.011952231152842e-33 -2.929253999275181e+00
3.125000000000000e-02 5.468750000000000e-01 9.935389511614477e-34 -2.902877562153639e+00
3.125000000000000e-02 5.625000000000000e-01 9.780818386534423e-34 -2.869141017320043e+00
3.125000000000000e-02 5.781250000000000e-01 9.592579283594138e-34 -2.829302153231167e+00
3.125000000000000e-02 5.937500000000000e-01 9.315826553398538e-34 -2.784541378763372e+00
3.125000000000000e-02 6.093750000000000e-01 8.908438843406093e-34 -2.735881464470472e+00
3.125000000000000e-02 6.250000000000000e-01 8.344951897521447e-34 -2.684204887909321e+00
3.125000000000000e-02 6.406250000000000e-01 7.623241665327988e-34 -2.630166179337322e+00
3.125000000000000e-02 6.562500000000000e-01 6.761161148711075e-34 -2.574398168370378e+00
3.125000000000000e-02 6.718750000000000e-01 5.798035170374267e-34 -2.517425665083173e+00
3.125000000000000e-02 6.875000000000000e-01 4.788643388179642e-34 -2.459694630443397e+00
3.125000000000000e-02 7.031250000000000e-01 3.794313537828989e-34 -2.401605149995452e+00
3.125000000000000e-02 7.187500000000000e-01 2.873071075573926e-34 -2.343521255404564e+00
3.125000000000000e-02 7.343750000000000e-01 2.070636117473615e-34 -2.285778662968231e+00
3.125000000000000e-02 7.500000000000000e-01 1.414377952965753e-34 -2.228690637563970e+00
3.125000000000000e-02 7.656250000000000e-01 9.114977157726190e-35 -2.172552313727659e+00
3.125000000000000e-02 7.812500000000000e-01 5.514579964260771e-35 -2.117643784568215e+00
3.125000000000000e-02 7.968750000000000e-01 3.114800670550592e-35 -2.064232174684362e+00
3.125000000000000e-02 8.125000000000000e-01 1.632257180311649e-35 -2.012572943908430e+00
3.125000000000000e-02 8.281250000000000e-01 7.878891152121050e-36 -1.962910437262552e+00
