chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 1.491961834122764e-04 -2.997028625607599e+00
0.000000000000000e+00 1.562500000000000e-02 1.492502819340662e-04 -3.162038727529013e+00
0.000000000000000e+00 3.125000000000000e-02 1.493668856081150e-04 -3.647546129672676e+00
0.000000000000000e+00 4.687500000000000e-02 1.494048785109721e-04 -4.426910384413407e+00
0.000000000000000e+00 6.250000000000000e-02 1.491274772238451e-04 -5.461371697470240e+00
0.000000000000000e+00 7.812500000000000e-02 1.482263344333066e-04 -6.706259967725903e+00
0.000000000000000e+00 9.375000000000000e-02 1.463737510980366e-04 -8.116555965767361e+00
0.000000000000000e+00 1.093750000000000e-01 1.432851107123536e-04 -9.650757397601183e+00
0.000000000000000e+00 1.250000000000000e-01 1.387693162338562e-04 -1.127292820668380e+01
0.000000000000000e+00 1.406250000000000e-01 1.327572817805768e-04 -1.295335895390261e+01
0.000000000000000e+00 1.562500000000000e-01 1.253119062042013e-04 -1.466838600964537e+01
0.000000000000000e+00 1.718750000000000e-01 1.166270218348563e-04 -1.639979620218927e+01
0.000000000000000e+00 1.875000000000000e-01 1.070188843986559e-04 -1.813406409941406e+01
0.000000000000000e+00 2.031250000000000e-01 9.690840751707663e-05 -1.986151342392618e+01
0.000000000000000e+00 2.187500000000000e-01 8.678977957250034e-05 -2.157536940363343e+01
0.000000000000000e+00 2.343750000000000e-01 7.718134252947040e-05 -2.327057242317930e+01
0.000000000000000e+00 2.500000000000000e-01 6.855654503947700e-05 -2.494221846392815e+01
0.000000000000000e+00 2.656250000000000e-01 6.125864229636874e-05 -2.658375687424263e+01
0.000000000000000e+00 2.812500000000000e-01 5.541830911011334e-05 -2.818571916665535e+01
0.000000000000000e+00 2.968750000000000e-01 5.091475405741065e-05 -2.973620584971073e+01
0.000000000000000e+00 3.125000000000000e-01 4.741923170908058e-05 -3.122341694638777e+01
0.000000000000000e+00 3.281250000000000e-01 4.451139298764441e-05 -3.263854475518142e+01
0.000000000000000e+00 3.437500000000000e-01 4.180579188180402e-05 -3.397699223393170e+01
0.000000000000000e+00 3.593750000000000e-01 3.903042375635684e-05 -3.523768885767985e+01
0.000000000000000e+00 3.750000000000000e-01 3.604564095209732e-05 -3.642166065441199e+01
0.000000000000000e+00 3.906250000000000e-01 3.282427348480924e-05 -3.753082484295136e+01
0.000000000000000e+00 4.062500000000000e-01 2.941708625846981e-05 -3.856728395477991e+01
0.000000000000000e+00 4.218750000000000e-01 2.591843248079292e-05 -3.953301337035118e+01
0.000000000000000e+00 4.375000000000000e-01 2.243839915471458e-05 -4.042977204896746e+01
0.000000000000000e+00 4.531250000000000e-01 1.908295054533166e-05 -4.125911591196520e+01
0.000000000000000e+00 4.687500000000000e-01 1.594148050833290e-05 -4.202244857767995e+01
0.000000000000000e+00 4.843750000000000e-01 1.308044243958419e-05 -4.272107930555572e+01
0.000000000000000e+00 5.000000000000000e-01 1.054156956675100e-05 -4.335627621550801e+01
0.000000000000000e+00 5.156250000000000e-01 8.343284635615009e-06 -4.392931118699215e+01
0.000000000000000e+00 5.312500000000000e-01 6.484085503302384e-06 -4.444149625280259e+01
0.000000000000000e+00 5.468750000000000e-01 4.946920825522390e-06 -4.489421247342997e+01
0.000000000000000e+00 5.625000000000000e-01 3.703806223459195e-06 -4.528893251458798e+01
0.000000000000000e+00 5.781250000000000e-01 2.720155775438890e-06 -4.562723804471918e+01
0.000000000000000e+00 5.937500000000000e-01 1.958502499621071e-06 -4.591083287238742e+01
