chiN 	 alphaN 
65	65 
chi	alpha	amp	phase
0.000000000000000e+00 0.000000000000000e+00 1.015049211226849e-02 1.191717436307469e+00
0.000000000000000e+00 1.562500000000000e-02 1.017079617138463e-02 1.018200836755855e+00
0.000000000000000e+00 3.125000000000000e-02 1.022946070663288e-02 5.073926431847562e-01
0.000000000000000e+00 4.687500000000000e-02 1.031992049759178e-02 -3.133668712678455e-01
0.000000000000000e+00 6.250000000000000e-02 1.043185691008284e-02 -1.404042751145541e+00
0.000000000000000e+00 7.812500000000000e-02 1.055216663403223e-02 -2.718061153557835e+00
0.000000000000000e+00 9.375000000000000e-02 1.066622887616687e-02 -4.207938592092738e+00
0.000000000000000e+00 1.093750000000000e-01 1.075924966566014e-02 -5.829332576905244e+00
0.000000000000000e+00 1.250000000000000e-01 1.081745643297638e-02 -7.543301550427008e+00
0.000000000000000e+00 1.406250000000000e-01 1.082900225460316e-02 -9.317100790713177e+00
0.000000000000000e+00 1.562500000000000e-01 1.078454273097447e-02 -1.112401892077284e+01
0.000000000000000e+00 1.718750000000000e-01 1.067751934046256e-02 -1.294270865080644e+01
0.000000000000000e+00 1.875000000000000e-01 1.050421284691643e-02 -1.475633079761821e+01
0.000000000000000e+00 2.031250000000000e-01 1.026363196907500e-02 -1.655169938595317e+01
0.000000000000000e+00 2.187500000000000e-01 9.957291358978724e-03 -1.831851955991247e+01
0.000000000000000e+00 2.343750000000000e-01 9.588919046869461e-03 -2.004875063691528e+01
0.000000000000000e+00 2.500000000000000e-01 9.164121576327088e-03 -2.173609472948136e+01
0.000000000000000e+00 2.656250000000000e-01 8.690026406477242e-03 -2.337559687317846e+01
0.000000000000000e+00 2.812500000000000e-01 8.174915561114696e-03 -2.496333790035275e+01
0.000000000000000e+00 2.968750000000000e-01 7.627861199557689e-03 -2.649620149263321e+01
0.000000000000000e+00 3.125000000000000e-01 7.058371975844873e-03 -2.797169911303763e+01
0.000000000000000e+00 3.281250000000000e-01 6.476058083403641e-03 -2.938783938268999e+01
0.000000000000000e+00 3.437500000000000e-01 5.890322265162530e-03 -3.074303123136185e+01
0.000000000000000e+00 3.593750000000000e-01 5.310083474788809e-03 -3.203601253921498e+01
0.000000000000000e+00 3.750000000000000e-01 4.743539102096493e-03 -3.326579793360560e+01
0.000000000000000e+00 3.906250000000000e-01 4.197970625380278e-03 -3.443164093735111e+01
0.000000000000000e+00 4.062500000000000e-01 3.679596204246409e-03 -3.553300684604332e+01
0.000000000000000e+00 4.218750000000000e-01 3.193472116676315e-03 -3.656955360993241e+01
0.000000000000000e+00 4.375000000000000e-01 2.743443153899791e-03 -3.754111867273128e+01
0.000000000000000e+00 4.531250000000000e-01 2.332140223944540e-03 -3.844771022712359e+01
0.000000000000000e+00 4.687500000000000e-01 1.961021600507628e-03 -3.928950172607241e+01
0.000000000000000e+00 4.843750000000000e-01 1.630452609696067e-03 -4.006682877212844e+01
0.000000000000000e+00 5.000000000000000e-01 1.339817183687189e-03 -4.078018771815367e+01
0.000000000000000e+00 5.156250000000000e-01 1.087653717077497e-03 -4.143023547044262e+01
0.000000000000000e+00 5.312500000000000e-01 8.718070996400529e-04 -4.201779010278688e+01
0.000000000000000e+00 5.468750000000000e-01 6.895886960497657e-04 -4.254383197772281e+01
0.000000000000000e+00 5.625000000000000e-01 5.379363913334807e-04 -4.300950513649784e+01
0.000000000000000e+00 5.781250000000000e-01 4.135675791752031e-04 -4.341611876774400e+01
0.000000000000000e+00 5.937500000000000e-01 3.131190683495957e-04 -4.376514860052494e+01
0.000000000000000e+00 6.093750000000000e-01 2.332692278871447e-04 -4.405823809330360e+01
0.000000000000000e+00 6.250000000000000e-01 1.708391781032685e-04 -4.429719930867192e+01
0.000000000000000e+00 6.406250000000000e-01 1.228713525790074e-04 -4.448401337591090e+01
0.000000000000000e+00 6.562500000000000e-01 8.668520147871395e-05 -4.462083045077136e+01
0.000000000000000e+00 6.718750000000000e-01 5.991108918994681e-05 -4.470996908495398e+01
0.000000000000000e+00 6.875000000000000e-01 4.050448967023787e-05 -4.475391491712611e+01
0.000000000000000e+00 7.031250000000000e-01 2.674335620133467e-05 -4.475531859308870e+01
0.000000000000000e+00 7.187500000000000e-01 1.721201967571459e-05 -4.471699281488431e+01
0.000000000000000e+00 7.343750000000000e-01 1.077515725395189e-05 -4.464190840696604e+01
0.000000000000000e+00 7.500000000000000e-01 6.545299115980917e-06 -4.453318927149370e+01
0.000000000000000e+00 7.656250000000000e-01 3.847049746836095e-06 -4.439410608366556e+01
0.000000000000000e+00 7.812500000000000e-01 2.180747301608714e-06 -4.422806855056592e+01
0.000000000000000e+00 7.968750000000000e-01 1.187730378815019e-06 -4.403861602180785e+01
0.000000000000000e+00 8.125000000000000e-01 6.187852450678468e-07 -4.382940619514297e+01
0.000000000000000e+00 8.281250000000000e-01 3.067614973701357e-07 -4.360420160229590e+01
0.000000000000000e+00 8.437500000000000e-01 1.438139873135028e-07 -4.336685348553711e+01
0.000000000000000e+00 8.593750000000000e-01 6.328528559383021e-08 -4.312128257839811e+01
0.000000000000000e+00 8.750000000000000e-01 2.590488121628723e-08 -4.287145617649914e+01
0.000000000000000e+00 8.906250000000000e-01 9.754969002580983e-09 -4.262136071532301e+01
0.000000000000000e+00 9.062500000000000e-01 3.333144001551584e-09 -4.237496884415791e+01
0.000000000000000e+00 9.218750000000000e-01 1.015571321111403e-09 -4.213619967392743e+01
0.000000000000000e+00 9.375000000000000e-01 2.698158547055335e-10 -4.190887044156851e+01
0.000000000000000e+00 9.531250000000000e-01 6.068927057782528e-11 -4.169663721106826e+01
0.000000000000000e+00 9.687500000000000e-01 1.110420441116582e-11 -4.150292131337444e+01
0.000000000000000e+00 9.843750000000000e-01 1.562612425088265e-12 -4.133081682327592e+01
0.000000000000000e+00 1.000000000000000e+00 1.557803362960536e-13 -4.118297212295700e+01
1.562500000000000e-02 0.000000000000000e+00 1.016882344859674e-02 1.083015563021670e+00
1.562500000000000e-02 1.562500000000000e-02 1.018879026947480e-02 9.105367849653813e-01
1.562500000000000e-02 3.125000000000000e-02 1.024647046147893e-02 4.027207369796938e-01
1.562500000000000e-02 4.687500000000000e-02 1.033537687365226e-02 -4.134210343874192e-01
1.562500000000000e-02 6.250000000000000e-02 1.044530791278648e-02 -1.498302215461060e+00
1.562500000000000e-02 7.812500000000000e-02 1.056329897931774e-02 -2.805818262569123e+00
1.562500000000000e-02 9.375000000000000e-02 1.067487108913183e-02 -4.288899854799894e+00
1.562500000000000e-02 1.093750000000000e-01 1.076535996896848e-02 -5.903525041714701e+00
1.562500000000000e-02 1.250000000000000e-01 1.082110134155723e-02 -7.610972922585054e+00
1.562500000000000e-02 1.406250000000000e-01 1.083033171095307e-02 -9.378632617680381e+00
1.562500000000000e-02 1.562500000000000e-01 1.078376596721882e-02 -1.117986024008099e+01
1.562500000000000e-02 1.718750000000000e-01 1.067488373366662e-02 -1.299332995005609e+01
1.562500000000000e-02 1.875000000000000e-01 1.049998656064119e-02 -1.480219470626566e+01
1.562500000000000e-02 2.031250000000000e-01 1.025809030072292e-02 -1.659324371998655e+01
1.562500000000000e-02 2.187500000000000e-01 9.950706314210521e-03 -1.835614880954642e+01
1.562500000000000e-02 2.343750000000000e-01 9.581551556687346e-03 -2.008283286995283e+01
1.562500000000000e-02 2.500000000000000e-01 9.156215813489420e-03 -2.176696175648155e+01
1.562500000000000e-02 2.656250000000000e-01 8.681805754762897e-03 -2.340354622960120e+01
1.562500000000000e-02 2.812500000000000e-01 8.166579894942351e-03 -2.498863572106254e+01
1.562500000000000e-02 2.968750000000000e-01 7.619585221368317e-03 -2.651908571271336e+01
1.562500000000000e-02 3.125000000000000e-01 7.050304427445750e-03 -2.799238266535102e+01
1.562500000000000e-02 3.281250000000000e-01 6.468321695452613e-03 -2.940651321327933e+01
1.562500000000000e-02 3.437500000000000e-01 5.883014339238653e-03 -3.075986704669043e+01
1.562500000000000e-02 3.593750000000000e-01 5.303277009109882e-03 -3.205116525463849e+01
1.562500000000000e-02 3.750000000000000e-01 4.737284378919310e-03 -3.327940782394050e+01
1.562500000000000e-02 3.906250000000000e-01 4.192297178990719e-03 -3.444383550718126e+01
1.562500000000000e-02 4.062500000000000e-01 3.674515086223324e-03 -3.554390244525781e+01
1.562500000000000e-02 4.218750000000000e-01 3.188978372214114e-03 -3.657925682259171e+01
1.562500000000000e-02 4.375000000000000e-01 2.739518421161360e-03 -3.754972750708627e+01
1.562500000000000e-02 4.531250000000000e-01 2.328755368957430e-03 -3.845531513277861e+01
1.562500000000000e-02 4.687500000000000e-01 1.958139303745973e-03 -3.929618646178848e+01
1.562500000000000e-02 4.843750000000000e-01 1.628029827416718e-03 -4.007267114505218e+01
1.562500000000000e-02 5.000000000000000e-01 1.337807417191017e-03 -4.078526021260088e+01
1.562500000000000e-02 5.156250000000000e-01 1.086009035814790e-03 -4.143460578191680e+01
1.562500000000000e-02 5.312500000000000e-01 8.704798787315557e-04 -4.202152159071689e+01
1.562500000000000e-02 5.468750000000000e-01 6.885330444343830e-04 -4.254698404846672e+01
1.562500000000000e-02 5.625000000000000e-01 5.371092624035287e-04 -4.301213356649408e+01
1.562500000000000e-02 5.781250000000000e-01 4.129295704725344e-04 -4.341827597526580e+01
1.562500000000000e-02 5.937500000000000e-01 3.126349298400107e-04 -4.376688387326363e+01
1.562500000000000e-02 6.093750000000000e-01 2.329081088481395e-04 -4.405959777799247e+01
1.562500000000000e-02 6.250000000000000e-01 1.705746503238548e-04 -4.429822696807742e+01
1.562500000000000e-02 6.406250000000000e-01 1.226812521921236e-04 -4.448474991780007e+01
1.562500000000000e-02 6.562500000000000e-01 8.655133338045827e-05 -4.462131423283844e+01
1.562500000000000e-02 6.718750000000000e-01 5.981883691328209e-05 -4.471023599918892e+01
1.562500000000000e-02 6.875000000000000e-01 4.044237021225917e-05 -4.475399845667267e+01
1.562500000000000e-02 7.031250000000000e-01 2.670255420487472e-05 -4.475524990429247e+01
1.562500000000000e-02 7.187500000000000e-01 1.718592914754341e-05 -4.471680073694308e+01
1.562500000000000e-02 7.343750000000000e-01 1.075895226783770e-05 -4.464161950136096e+01
1.562500000000000e-02 7.500000000000000e-01 6.535548252343823e-06 -4.453282784320717e+01
1.562500000000000e-02 7.656250000000000e-01 3.841382821274914e-06 -4.439369419605035e+01
1.562500000000000e-02 7.812500000000000e-01 2.177577575182665e-06 -4.422762603565094e+01
1.562500000000000e-02 7.968750000000000e-01 1.186031138505299e-06 -4.403816048778098e+01
1.562500000000000e-02 8.125000000000000e-01 6.179164839382284e-07 -4.382895303276092e+01
1.562500000000000e-02 8.281250000000000e-01 3.063403903536150e-07 -4.360376399202720e+01
1.562500000000000e-02 8.437500000000000e-01 1.436218415281847e-07 -4.336644240736026e+01
1.562500000000000e-02 8.593750000000000e-01 6.320347247088202e-08 -4.312090682640799e+01
1.562500000000000e-02 8.750000000000000e-01 2.587272549257681e-08 -4.287112238070429e+01
1.562500000000000e-02 8.906250000000000e-01 9.743461695517286e-09 -4.262107337349882e+01
1.562500000000000e-02 9.062500000000000e-01 3.329460751857182e-09 -4.237473036715365e+01
1.562500000000000e-02 9.218750000000000e-01 1.014541779154690e-09 -4.213601044866741e+01
1.562500000000000e-02 9.375000000000000e-01 2.695728777902742e-10 -4.190872891711692e+01
1.562500000000000e-02 9.531250000000000e-01 6.064328344232262e-11 -4.169654001474569e+01
1.562500000000000e-02 9.687500000000000e-01 1.109783054275867e-11 -4.150286340629125e+01
1.562500000000000e-02 9.843750000000000e-01 1.562094609072567e-12 -4.133079170816735e+01
1.562500000000000e-02 1.000000000000000e+00 1.557803418211505e-13 -4.118297212272342e+01
3.125000000000000e-02 0.000000000000000e+00 1.022267638834953e-02 7.604437502274235e-01
3.125000000000000e-02 1.562500000000000e-02 1.024164976046383e-02 5.910047335705074e-01
3.125000000000000e-02 3.125000000000000e-02 1.029642943791171e-02 9.195728685361493e-02
3.125000000000000e-02 4.687500000000000e-02 1.038075616998312e-02 -7.106384683440904e-01
3.125000000000000e-02 6.250000000000000e-02 1.048477063778598e-02 -1.778497935085377e+00
3.125000000000000e-02 7.812500000000000e-02 1.059591493080420e-02 -3.066883091041660e+00
3.125000000000000e-02 9.375000000000000e-02 1.070012717536532e-02 -4.529936136819158e+00
3.125000000000000e-02 1.093750000000000e-01 1.078312598531305e-02 -6.124578108505069e+00
3.125000000000000e-02 1.250000000000000e-01 1.083156805780186e-02 -7.812741963435518e+00
3.125000000000000e-02 1.406250000000000e-01 1.083393824194708e-02 -9.562217515759237e+00
3.125000000000000e-02 1.562500000000000e-01 1.078112877973834e-02 -1.134656671423928e+01
3.125000000000000e-02 1.718750000000000e-01 1.066673410645197e-02 -1.314453334397045e+01
3.125000000000000e-02 1.875000000000000e-01 1.048711899327707e-02 -1.493925253263953e+01
3.125000000000000e-02 2.031250000000000e-01 1.024132176197379e-02 -1.671744448090209e+01
3.125000000000000e-02 2.187500000000000e-01 9.930845002907203e-03 -1.846868579672503e+01
3.125000000000000e-02 2.343750000000000e-01 9.559373499362719e-03 -2.018479411432035e+01
3.125000000000000e-02 2.500000000000000e-01 9.132447718445598e-03 -2.185932979495128e+01
3.125000000000000e-02 2.656250000000000e-01 8.657112811995330e-03 -2.348720341063771e+01
3.125000000000000e-02 2.812500000000000e-01 8.141557509941220e-03 -2.506437229108613e+01
3.125000000000000e-02 2.968750000000000e-01 7.594753932015738e-03 -2.658760898120564e+01
3.125000000000000e-02 3.125000000000000e-01 7.026107454891357e-03 -2.805432624771695e+01
3.125000000000000e-02 3.281250000000000e-01 6.445124721180018e-03 -2.946244580025808e+01
3.125000000000000e-02 3.437500000000000e-01 5.861107190169415e-03 -3.081030042849108e+01
3.125000000000000e-02 3.593750000000000e-01 5.282876982051364e-03 -3.209656149576938e+01
3.125000000000000e-02 3.750000000000000e-01 4.718540956598422e-03 -3.332018558133944e+01
3.125000000000000e-02 3.906250000000000e-01 4.175297892794835e-03 -3.448037553647765e+01
3.125000000000000e-02 4.062500000000000e-01 3.659292274483140e-03 -3.557655236520589e+01
3.125000000000000e-02 4.218750000000000e-01 3.175516574479159e-03 -3.660833521700978e+01
3.125000000000000e-02 4.375000000000000e-01 2.727762143843404e-03 -3.757552744384812e+01
3.125000000000000e-02 4.531250000000000e-01 2.318616959636083e-03 -3.847810717485417e+01
3.125000000000000e-02 4.687500000000000e-01 1.949506682493890e-03 -3.931622123848063e+01
3.125000000000000e-02 4.843750000000000e-01 1.620773844470943e-03 -4.009018154398311e+01
3.125000000000000e-02 5.000000000000000e-01 1.331788636663577e-03 -4.080046324546390e+01
3.125000000000000e-02 5.156250000000000e-01 1.081083783410834e-03 -4.144770416994637e+01
3.125000000000000e-02 5.312500000000000e-01 8.665054353802005e-04 -4.203270510948483e+01
3.125000000000000e-02 5.468750000000000e-01 6.853719145939442e-04 -4.255643066600000e+01
3.125000000000000e-02 5.625000000000000e-01 5.346324926685727e-04 -4.302001040385213e+01
3.125000000000000e-02 5.781250000000000e-01 4.110191381568764e-04 -4.342474011452148e+01
3.125000000000000e-02 5.937500000000000e-01 3.111852599434504e-04 -4.377208303428137e+01
3.125000000000000e-02 6.093750000000000e-01 2.318268092871923e-04 -4.406367088235564e+01
3.125000000000000e-02 6.250000000000000e-01 1.697825782294424e-04 -4.430130460597422e+01
3.125000000000000e-02 6.406250000000000e-01 1.221120378972609e-04 -4.448695473151150e+01
3.125000000000000e-02 6.562500000000000e-01 8.615049360061048e-05 -4.462276122867564e+01
3.125000000000000e-02 6.718750000000000e-01 5.954260536392900e-05 -4.471103279820736e+01
3.125000000000000e-02 6.875000000000000e-01 4.025636382307149e-05 -4.475424549323363e+01
3.125000000000000e-02 7.031250000000000e-01 2.658037783304078e-05 -4.475504058050650e+01
3.125000000000000e-02 7.187500000000000e-01 1.710780308477480e-05 -4.471622154017527e+01
3.125000000000000e-02 7.343750000000000e-01 1.071042668779225e-05 -4.464075009129827e+01
3.125000000000000e-02 7.500000000000000e-01 6.506348709967452e-06 -4.453174111445685e+01
3.125000000000000e-02 7.656250000000000e-01 3.824412368423294e-06 -4.439245632185062e+01
3.125000000000000e-02 7.812500000000000e-01 2.168085023170648e-06 -4.422629649801404e+01
3.125000000000000e-02 7.968750000000000e-01 1.180942121126965e-06 -4.403679209927928e+01
3.125000000000000e-02 8.125000000000000e-01 6.153145245624158e-07 -4.382759195517990e+01
3.125000000000000e-02 8.281250000000000e-01 3.050790937367536e-07 -4.360244975729463e+01
3.125000000000000e-02 8.437500000000000e-01 1.430462895063590e-07 -4.336520794655081e+01
3.125000000000000e-02 8.593750000000000e-01 6.295839073495859e-08 -4.311977851315773e+01
3.125000000000000e-02 8.750000000000000e-01 2.577638983833059e-08 -4.287012009633354e+01
3.125000000000000e-02 8.906250000000000e-01 9.708982951850383e-09 -4.262021060229468e+01
3.125000000000000e-02 9.062500000000000e-01 3.318423313984371e-09 -4.237401433209852e+01
3.125000000000000e-02 9.218750000000000e-01 1.011456076921618e-09 -4.213544230027672e+01
3.125000000000000e-02 9.375000000000000e-01 2.688444850509168e-10 -4.190830399150291e+01
3.125000000000000e-02 9.531250000000000e-01 6.050538747419661e-11 -4.169624818190103e+01
3.125000000000000e-02 9.687500000000000e-01 1.107871149792635e-11 -4.150268953663350e+01
3.125000000000000e-02 9.843750000000000e-01 1.560540669412500e-12 -4.133071629604004e+01
3.125000000000000e-02 1.000000000000000e+00 1.557803588214617e-13 -4.118297212200466e+01
4.687500000000000e-02 0.000000000000000e+00 1.030872137173154e-02 2.341912613304155e-01
4.687500000000000e-02 1.562500000000000e-02 1.032609755517792e-02 6.958593065286454e-02
4.687500000000000e-02 3.125000000000000e-02 1.037621153922022e-02 -4.155037999907392e-01
4.687500000000000e-02 4.687500000000000e-02 1.045316403218657e-02 -1.196495571957307e+00
4.687500000000000e-02 6.250000000000000e-02 1.054763817991369e-02 -2.237136331660564e+00
4.687500000000000e-02 7.812500000000000e-02 1.064772383688068e-02 -3.494835488457350e+00
4.687500000000000e-02 9.375000000000000e-02 1.074002763028743e-02 -4.925656020330718e+00
4.687500000000000e-02 1.093750000000000e-01 1.081088619793927e-02 -6.488030442783798e+00
