10000.00533333	6.397719014559667e-20	3.738862007959137e-30
9932.69686467	6.617430627199456e-20	3.9331305104939876e-30
9866.065680876	6.843909749055873e-20	4.136787818536295e-30
9800.102725522	7.077341033722374e-20	4.3502538352520176e-30
9734.799093048	7.317913528123969e-20	4.573965811877142e-30
9670.14602576	7.565820761734721e-20	4.80837881496691e-30
9606.134910888	7.82126083761276e-20	5.0539665982109406e-30
9542.757277725	8.08443652458628e-20	5.3112220439435045e-30
9480.004794819	8.355555351040388e-20	5.580658285957303e-30
9417.869267236	8.634829700326152e-20	5.862809056746806e-30
9356.342633885	8.92247690808644e-20	6.158229624655015e-30
9295.416964904	9.218719360440983e-20	6.467497521432566e-30
9235.084459104	9.523784594800793e-20	6.791213520195097e-30
9175.33744147	9.837905401046383e-20	7.130002254512067e-30
9116.168360724	1.0161319925977042e-19	7.484513405681982e-30
9057.569786935	1.0494271777869902e-19	7.855422148316687e-30
8999.534409188	1.0837010133897842e-19	8.243430518881462e-30
8942.055033304	1.1189789848967482e-19	8.649268140532638e-30
8885.124579609	1.1552871565771048e-19	9.073693249860978e-30
8828.736080756	1.1926521827420456e-19	9.51749384264463e-30
8772.882679592	1.2311013191548864e-19	9.98148867074737e-30
8717.557627072	1.2706624346225768e-19	1.0466528159481677e-29
8662.754280222	1.3113640227617483e-19	1.097349586898808e-29
8608.466100145	1.3532352139806668e-19	1.150330932119717e-29
8554.686650067	1.3963057876359996e-19	1.2056921504570033e-29
8501.409593435	1.4406061843994697e-19	1.263532185755952e-29
8448.628692044	1.4861675187380993e-19	1.3239537744127708e-29
8396.337804216	1.5330215917646992e-19	1.3870635871599363e-29
8344.530883009	1.5812009041056556e-19	1.4529723243575965e-29
8293.201974472	1.6307386690574443e-19	1.5217948956645338e-29
8242.345215933	1.681668825931455e-19	1.5936505365247505e-29
8191.954834325	1.734026053672183e-19	1.668662985450221e-29
8142.025144547	1.7878457845374816e-19	1.746960640882758e-29
8092.550547861	1.8431642181883707e-19	1.8286766783708186e-29
8043.525530323	1.9000183357606444e-19	1.9139492509518922e-29
7994.944661245	1.958445914405315e-19	2.002921647092854e-29
7946.802591693	2.0184855418403584e-19	2.0957424783786123e-29
7899.094053013	2.0801766312823156e-19	2.1925658700785e-29
7851.813855391	2.1435594364560387e-19	2.2935515619279787e-29
7804.956886439	2.208675066954104e-19	2.3988652156489912e-29
7758.518109814	2.275565503806464e-19	2.5086785524460428e-29
7712.492563869	2.344273615220569e-19	2.6231695609903324e-29
7666.875360319	2.414843172618782e-19	2.742522692912952e-29
7621.661682951	2.4873188669137416e-19	2.866929134254622e-29
7576.846786348	2.5617463249901687e-19	2.9965869094922236e-29
7532.425994646	2.638172126496065e-19	3.131701277482077e-29
7488.394700314	2.7166438207360926e-19	3.272484841481221e-29
7444.748362957	2.7972099441106055e-19	3.419157828661583e-29
7401.48250815	2.8799200374212597e-19	3.571948343825284e-29
7358.592726285	2.964824663781205e-19	3.731092581524745e-29
7316.074671455	3.051975426540718e-19	3.8968352050555123e-29
7273.924060346	3.141424987636062e-19	4.069429479816738e-29
7232.136671161	3.2332270861253236e-19	4.249137671992018e-29
7190.708342564	3.327436557037221e-19	4.436231293551456e-29
7149.634972644	3.42410935043678e-19	4.6309912930495865e-29
7108.912517896	3.523302550839495e-19	4.8337085631742887e-29
7068.53699223	3.625074396762171e-19	5.044684178805785e-29
7028.504465993	3.729484300887114e-19	5.264229547151115e-29
6988.811065014	3.836592870065439e-19	5.492667039366623e-29
6949.452969666	3.946461925924124e-19	5.730330088950414e-29
6910.426413949	4.059154525618066e-19	5.977563742042285e-29
6871.727684585	4.1747349830631066e-19	6.234724786894272e-29
6833.353120138	4.2932688902284314e-19	6.502182357613577e-29
6795.299110148	4.414823138798353e-19	6.780318191878674e-29
6757.562094281	4.539465942359504e-19	7.069527054771327e-29
6720.138561493	4.667266858568631e-19	7.37021719345736e-29
6683.025049219	4.798296811776505e-19	7.682810563286574e-29
6646.21814257	4.932628116188947e-19	8.007743535850395e-29
6609.714473545	5.070334498924156e-19	8.345467210580489e-29
6573.510720263	5.211491123624391e-19	8.696447776596458e-29
6537.603606206	5.356174614472044e-19	9.061167101385842e-29
6501.989899479	5.504463080383383e-19	9.440123167423458e-29
6466.666412082	5.656436139665253e-19	9.833830657304718e-29
6431.629999195	5.812174944856002e-19	1.024282131558536e-28
6396.877558482	5.971762208043516e-19	1.0667644477610524e-28
6362.4060294	6.135282226461914e-19	1.1108867727317218e-28
6328.212392527	6.30282090843327e-19	1.1567077332800154e-28
6294.2936689	6.474465799880375e-19	1.2042878963059218e-28
6260.646919369	6.650306110627498e-19	1.253689800914722e-28
6227.269243956	6.830432741755e-19	1.3049780419215986e-28
6194.157781233	7.014938312883019e-19	1.358219323837588e-28
6161.309707708	7.2039171899417025e-19	1.413482527238079e-28
6128.722237222	7.397465513316303e-19	1.4708387489361006e-28
6096.392620362	7.595681226419423e-19	1.5303614136570574e-28
6064.318143873	7.798664104511357e-19	1.592126295119905e-28
6032.4961301	8.006515784043762e-19	1.6562116189364192e-28
6000.923936418	8.219339792278513e-19	1.722698128558493e-28
5969.598954692	8.4372415773528795e-19	1.791669137269449e-28
5938.518610732	8.660328539070416e-19	1.863210624700445e-28
5907.680363769	8.888710059059715e-19	1.9374113334436007e-28
5877.081705933	9.122497532743943e-19	2.0143627874354716e-28
5846.720161743	9.361804400673543e-19	2.0941594304990274e-28
5816.593287607	9.606746180691949e-19	2.1768987132641054e-28
5786.698671332	9.857440500421018e-19	2.262681118116326e-28
